Code,Site,Region,Country,Years,Species,Landscape,Decrease.Per,Increase.Per,Unknown.Per,Stable.Per,Per.HuntedY,Per.HuntedN,PopDen,Forested,EdgeDensity,SA_Area,PA_Area,ZOI_Area
BBS,Bukit Barisan,Asia,Indonesia,5,35,Patchy,17.14,17.14,57.14,8.57,28.6,54.3,0.073,0.882649317,0.000367521,20811,331155,616624
BCI,Barro Colorado Nature Monument ,Americas,Panama,5,35,Patchy,17.14,8.57,45.71,28.57,34.3,0,1.216,0.720805026,0.000452687,27445,13800,431936
BIF,Bwindi Impenetrable Forest,Africa,Uganda,4,28,Isolated,21.43,21.43,42.86,14.29,21.4,78.6,3.584,0.092049764,6.83E-05,31782,34276,808077
CAX,Caxiuanã,Americas,Brazil,4,33,Intact,18.18,0,33.33,48.48,66.7,33.3,0.009,0.999439866,0.000204802,23594,35407,293966
COU,Cocha Cashu - Manu National Park,Americas,Peru,4,48,Intact,14.58,31.25,31.25,22.92,0,100,0.002,1,0.000210446,20132,1704506,371989
CSN,Central Suriname Nature Reserve,Americas,Suriname,7,43,Intact,30.23,13.95,34.88,20.93,60.5,30.2,0.001,1,0.000143195,22534,1630234,504910
KRP,Korup National Park,Africa,Cameroon,3,29,Patchy,24.14,10.34,31.03,34.48,69,13.8,0.219,0.761313,0.000595495,15423,130348,171190
NAK,Nam Kading,Asia,Laos,5,31,Patchy,12.9,16.13,61.29,9.68,80.6,0,0.158,0.765162231,0.000399099,23098,169569,1125109
NNN,Nouabalé Ndoki,Africa,Republic of Congo,5,40,Intact,27.5,27.5,27.5,17.5,0,100,0.005,1,0.000105441,22058,411653,229665
PSH,Pasoh Forest Reserve,Asia,Malaysia,4,38,Patchy,26.32,13.16,50,10.53,55.3,2.6,0.487,0.627880901,0.00073521,25759,13610,281307
RNF,Ranomafana,Madagascar,Madagascar,4,18,Isolated,44.44,22.22,22.22,11.11,72.2,27.8,0.707,0.382297572,0.000279385,14239,40705,211114
UDZ,Udzungwa,Africa,Udzungwa,6,30,Isolated,13.33,20,36.67,30,53.3,6.7,0.321,0.090852426,0.000141025,14673,209538,1942132
VB,Volcán Barva,Americas,Costa Rica,8,27,Patchy,44.44,3.7,48.15,3.7,33.3,63,2.589,0.678913334,0.000689797,21049,49317,853418
YAN,Yanachaga Chimillén National Park,Americas,Peru,4,32,Patchy,15.63,21.88,40.63,21.88,0,100,0.057,0.948293007,0.00036035,17126,293234,366834
YAS,Yasuni,Americas,Ecuador,4,44,Intact,13.64,22.73,29.55,34.09,52.3,0,0.037,0.999878178,0.000149681,22125,1040687,659508
