Class,Order,Family,Species,RLS,Mass_kg,Diet,Slope,Status,Hunted,Case,Site
Aves,Ciconiiformes,Threskiornithidae,Lophotibis cristata,Near Threatened,0.85,Omnivore,0.05,Stable,Y,2,RNF
Aves,Columbiformes,Columbidae,Aplopelia larvata,Least Concern,0.116,Herbivore,0.11,Increasing,Y,2,UDZ
Aves,Columbiformes,Columbidae,Chalcophaps indica,Least Concern,0.107,Herbivore,0,Unknown,N,3,BBS
Aves,Columbiformes,Columbidae,Chalcophaps indica,Least Concern,0.107,Herbivore,0.28,Unknown,U,3,NAK
Aves,Columbiformes,Columbidae,Chalcophaps indica,Least Concern,0.107,Herbivore,-0.23,Unknown,U,3,PSH
Aves,Columbiformes,Columbidae,Geotrygon frenata,Least Concern,0.305,Omnivore,0,Unknown,N,3,YAN
Aves,Columbiformes,Columbidae,Geotrygon montana,Least Concern,0.28,Omnivore,-0.33,Decreasing,U,2,BCI
Aves,Columbiformes,Columbidae,Geotrygon montana,Least Concern,0.28,Omnivore,0.21,Unknown,N,3,CAX
Aves,Columbiformes,Columbidae,Geotrygon montana,Least Concern,0.28,Omnivore,-0.04,Unknown,N,3,COU
Aves,Columbiformes,Columbidae,Geotrygon montana,Least Concern,0.28,Omnivore,-0.27,Decreasing,U,3,CSN
Aves,Columbiformes,Columbidae,Geotrygon montana,Least Concern,0.28,Omnivore,-0.43,Decreasing,U,2,YAS
Aves,Columbiformes,Columbidae,Geotrygon violacea,Least Concern,0.19,Omnivore,-0.43,Unknown,N,3,COU
Aves,Columbiformes,Columbidae,Geotrygon violacea,Least Concern,0.19,Omnivore,-0.69,Decreasing,U,3,CSN
Aves,Columbiformes,Columbidae,Leptotila cassini,Least Concern,0.156,Omnivore,-0.26,Decreasing,U,2,BCI
Aves,Columbiformes,Columbidae,Leptotila rufaxilla,Least Concern,0.155,Omnivore,0.16,Increasing,N,2,COU
Aves,Columbiformes,Columbidae,Leptotila rufaxilla,Least Concern,0.155,Omnivore,0.17,Increasing,U,2,CSN
Aves,Columbiformes,Columbidae,Leptotila rufaxilla,Least Concern,0.155,Omnivore,-0.25,Unknown,Y,3,YAS
Aves,Columbiformes,Columbidae,Leptotila verreauxi,Least Concern,0.155,Omnivore,-0.17,Unknown,U,3,BCI
Aves,Columbiformes,Columbidae,Turtur brehmeri,Least Concern,0.113,Omnivore,-0.48,Decreasing,N,2,KRP
Aves,Columbiformes,Columbidae,Turtur brehmeri,Least Concern,0.113,Omnivore,0.19,Unknown,N,3,NNN
Aves,Coraciiformes,Momotidae,Baryphthengus martii,Least Concern,0.195,Omnivore,-0.29,Unknown,U,3,YAS
Aves,Coraciiformes,Brachypteraciidae,Brachypteracias squamiger,Vulnerable,0.17,Insectivore,0.1,Unknown,Y,3,RNF
Aves,Cuculiformes,Cuculidae,Coua reynaudii,Least Concern,0.153,Omnivore,-0.25,Decreasing,Y,3,RNF
Aves,Cuculiformes,Cuculidae,Neomorphus geoffroyi,Least Concern,0.35,Omnivore,-0.26,Unknown,U,3,BCI
Aves,Cuculiformes,Cuculidae,Neomorphus geoffroyi,Least Concern,0.35,Omnivore,-0.04,Unknown,N,3,COU
Aves,Cuculiformes,Cuculidae,Neomorphus geoffroyi,Least Concern,0.35,Omnivore,0.69,Increasing,N,3,YAN
Aves,Cuculiformes,Cuculidae,Neomorphus geoffroyi,Least Concern,0.35,Omnivore,-0.25,Unknown,U,3,YAS
Aves,Galliformes,Numididae,Agelastes niger,Least Concern,1.15,Omnivore,-0.35,Stable,U,1,KRP
Aves,Galliformes,Numididae,Agelastes niger,Least Concern,1.15,Omnivore,0.07,Stable,N,2,NNN
Aves,Galliformes,Phasianidae,Arborophila chloropus,Least Concern,0.27,Omnivore,0.13,Unknown,Y,3,NAK
Aves,Galliformes,Phasianidae,Argusianus argus,Near Threatened,2.38,Omnivore,0.1,Increasing,N,1,BBS
Aves,Galliformes,Phasianidae,Argusianus argus,Near Threatened,2.38,Omnivore,-0.36,Decreasing,Y,3,PSH
Aves,Galliformes,Cracidae,Crax alector,Vulnerable,3.95,Omnivore,0.07,Stable,Y,1,CSN
Aves,Galliformes,Cracidae,Crax rubra,Vulnerable,3.95,Omnivore,0.11,Stable,Y,2,BCI
Aves,Galliformes,Cracidae,Crax rubra,Vulnerable,3.95,Omnivore,-0.14,Decreasing,Y,2,VB
Aves,Galliformes,Phasianidae,Francolinus lathami,Least Concern,0.269,Herbivore,0.11,Stable,N,2,KRP
Aves,Galliformes,Phasianidae,Francolinus lathami,Least Concern,0.269,Herbivore,0.12,Increasing,N,2,NNN
Aves,Galliformes,Phasianidae,Francolinus nobilis,Least Concern,0.757,Herbivore,0.22,Increasing,Y,2,BIF
Aves,Galliformes,Phasianidae,Francolinus pintadeanus,Least Concern,0.34,Herbivore,-0.41,Unknown,Y,3,NAK
Aves,Galliformes,Phasianidae,Francolinus squamatus,Least Concern,0.472,Herbivore,0.16,Unknown,Y,3,UDZ
Aves,Galliformes,Phasianidae,Gallus gallus,Least Concern,0.914,Omnivore,0,Unknown,N,3,BBS
Aves,Galliformes,Phasianidae,Gallus gallus,Least Concern,0.914,Omnivore,-0.32,Unknown,Y,3,NAK
Aves,Galliformes,Phasianidae,Gallus gallus,Least Concern,0.914,Omnivore,-0.03,Unknown,Y,3,PSH
Aves,Galliformes,Numididae,Guttera plumifera,Least Concern,1.2,Omnivore,-0.15,Decreasing,N,2,NNN
Aves,Galliformes,Numididae,Guttera pucherani,Least Concern,1.2,Omnivore,0.03,Unknown,Y,3,BIF
Aves,Galliformes,Numididae,Guttera pucherani,Least Concern,1.2,Omnivore,0.17,Increasing,Y,1,UDZ
Aves,Galliformes,Phasianidae,Lophura diardi,Least Concern,1.041,Omnivore,-0.04,Stable,Y,2,NAK
Aves,Galliformes,Phasianidae,Lophura ignita,Near Threatened,1.815,Omnivore,0.22,Unknown,U,3,PSH
Aves,Galliformes,Phasianidae,Lophura nycthemera,Least Concern,1.358,Omnivore,-0.13,Unknown,Y,3,NAK
Aves,Galliformes,Cracidae,Mitu salvini,Least Concern,3.1,Omnivore,0.27,Increasing,Y,2,YAS
Aves,Galliformes,Cracidae,Mitu tuberosum,Least Concern,3.06,Omnivore,-0.26,Decreasing,Y,2,CAX
Aves,Galliformes,Cracidae,Mitu tuberosum,Least Concern,3.06,Omnivore,0.26,Increasing,N,1,COU
Aves,Galliformes,Cracidae,Mitu tuberosum,Least Concern,3.06,Omnivore,0.12,Stable,N,1,YAN
Aves,Galliformes,Cracidae,Nothocrax urumutum,Least Concern,1.7,Herbivore,-0.01,Stable,Y,2,YAS
Aves,Galliformes,Numididae,Numida meleagris,Least Concern,1.375,Omnivore,0,Unknown,Y,3,RNF
Aves,Galliformes,Odontophoridae,Odontophorus gujanensis,Near Threatened,0.28,Omnivore,-0.41,Unknown,U,3,BCI
Aves,Galliformes,Odontophoridae,Odontophorus gujanensis,Near Threatened,0.28,Omnivore,-0.01,Unknown,U,3,CSN
Aves,Galliformes,Odontophoridae,Odontophorus gujanensis,Near Threatened,0.28,Omnivore,-0.02,Stable,Y,2,YAS
Aves,Galliformes,Odontophoridae,Odontophorus leucolaemus,Least Concern,0.275,Omnivore,-0.1,Unknown,N,3,VB
Aves,Galliformes,Odontophoridae,Odontophorus stellatus,Least Concern,0.295,Omnivore,0.15,Stable,N,2,COU
Aves,Galliformes,Cracidae,Penelope jacquacu,Least Concern,1.46,Herbivore,-0.29,Decreasing,N,3,COU
Aves,Galliformes,Cracidae,Penelope jacquacu,Least Concern,1.46,Herbivore,-0.33,Decreasing,N,3,CSN
Aves,Galliformes,Cracidae,Penelope jacquacu,Least Concern,1.46,Herbivore,0.25,Increasing,N,3,YAN
Aves,Galliformes,Cracidae,Penelope jacquacu,Least Concern,1.46,Herbivore,0.29,Stable,Y,2,YAS
Aves,Galliformes,Cracidae,Penelope pileata,Vulnerable,1.26,Herbivore,0.06,Unknown,Y,3,CAX
Aves,Galliformes,Cracidae,Penelope purpurascens,Least Concern,1.75,Herbivore,0.15,Unknown,Y,3,BCI
Aves,Galliformes,Cracidae,Penelope purpurascens,Least Concern,1.75,Herbivore,-0.18,Decreasing,Y,3,VB
Aves,Galliformes,Cracidae,Penelope superciliaris,Least Concern,1.075,Herbivore,-0.85,Decreasing,Y,3,CAX
Aves,Galliformes,Phasianidae,Polyplectron bicalcaratum,Least Concern,0.737,Omnivore,-0.49,Decreasing,Y,3,NAK
Aves,Galliformes,Phasianidae,Rollulus rouloul,Near Threatened,0.217,Omnivore,0.26,Increasing,N,3,BBS
Aves,Gruiformes,Rallidae,Aramides cajaneus,Least Concern,0.397,Omnivore,-0.3,Unknown,U,3,BCI
Aves,Gruiformes,Rallidae,Aramides cajaneus,Least Concern,0.397,Omnivore,0.09,Unknown,N,3,COU
Aves,Gruiformes,Rallidae,Aramides cajaneus,Least Concern,0.397,Omnivore,-0.21,Unknown,N,3,CSN
Aves,Gruiformes,Rallidae,Canirallus kioloides,Least Concern,0.269,Omnivore,-0.25,Decreasing,N,3,RNF
Aves,Gruiformes,Rallidae,Canirallus oculeus,Least Concern,0.277,Omnivore,-0.22,Unknown,N,3,KRP
Aves,Gruiformes,Rallidae,Himantornis haematopus,Least Concern,0.39,Omnivore,-1.34,Decreasing,N,1,KRP
Aves,Gruiformes,Psophiidae,Psophia crepitans,Least Concern,1.3,Omnivore,0.06,Stable,Y,1,CSN
Aves,Gruiformes,Psophiidae,Psophia crepitans,Least Concern,1.3,Omnivore,0.19,Stable,Y,1,YAS
Aves,Gruiformes,Psophiidae,Psophia leucoptera,Least Concern,1.25,Omnivore,-0.03,Stable,N,1,COU
Aves,Gruiformes,Psophiidae,Psophia viridis,Endangered,1.1,Omnivore,0.22,Stable,Y,1,CAX
Aves,Passeriformes,Picathartidae,Picathartes oreas,Vulnerable,0.225,Omnivore,-0.26,Unknown,U,3,KRP
Aves,Tinamiformes,Tinamidae,Crypturellus bartletti,Least Concern,0.241,Omnivore,0.37,Increasing,N,2,COU
